Giorno,Postazione,Strada,Transiti - Totale
10/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),12342
11/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),9511
12/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),8372
13/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),11433
14/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),11817
01/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,14129
02/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,21623
03/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,24052
04/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,23012
05/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,21593
06/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,17563
07/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,26066
08/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,26527
09/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,26713
10/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,27567
11/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,27512
12/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,2316
13/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,2525
14/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,27977
01/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),10314
02/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),17947
03/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),19174
04/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),19751
05/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),19276
06/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),16394
07/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),20593
08/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),21013
09/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),21291
10/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),23155
11/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),21883
12/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),20339
13/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),21914
14/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),22421
01/01/2025,53,SS 309 a San Giuseppe di Comacchio,5093
02/01/2025,53,SS 309 a San Giuseppe di Comacchio,8311
03/01/2025,53,SS 309 a San Giuseppe di Comacchio,7823
04/01/2025,53,SS 309 a San Giuseppe di Comacchio,7992
05/01/2025,53,SS 309 a San Giuseppe di Comacchio,7652
06/01/2025,53,SS 309 a San Giuseppe di Comacchio,6722
07/01/2025,53,SS 309 a San Giuseppe di Comacchio,8777
08/01/2025,53,SS 309 a San Giuseppe di Comacchio,9446
09/01/2025,53,SS 309 a San Giuseppe di Comacchio,9574
10/01/2025,53,SS 309 a San Giuseppe di Comacchio,9727
11/01/2025,53,SS 309 a San Giuseppe di Comacchio,8012
12/01/2025,53,SS 309 a San Giuseppe di Comacchio,7489
13/01/2025,53,SS 309 a San Giuseppe di Comacchio,9581
14/01/2025,53,SS 309 a San Giuseppe di Comacchio,10238
01/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,5121
02/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,9331
03/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,10013
04/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,8754
05/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,7711
06/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,6426
07/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,12611
08/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,12538
09/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,12585
10/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,13372
11/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,11026
12/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,8617
13/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,12863
14/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,13149
01/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),202
02/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2322
03/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),233
04/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2316
05/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2087
06/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),1873
07/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2584
08/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2592
09/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2501
10/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2828
11/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2562
12/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),1465
13/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),1698
14/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),2421
01/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),4246
02/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),7101
03/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),6979
04/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),6574
05/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),5581
06/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),5343
07/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),8791
08/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),931
09/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),9359
10/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),9539
11/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),7856
12/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),6363
13/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),9317
14/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),9902
01/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),1274
02/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2053
03/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2061
04/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2093
05/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),1694
06/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),1527
07/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2349
08/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2404
09/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2388
10/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2649
11/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2204
12/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),1853
13/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2539
14/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),2463
01/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4899
02/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,5329
03/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4888
04/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,5268
05/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4872
06/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4779
07/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4939
08/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4873
09/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4822
10/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,5298
11/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,5009
12/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4308
13/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4938
14/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4622
01/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,1448
02/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,8160
03/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,8560
04/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,1215
05/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,7540
06/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,6570
07/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,4310
08/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,3700
09/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,3680
10/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,5520
11/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,5900
12/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,7130
13/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,4390
14/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,4060
01/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),4070
02/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),4710
03/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),5590
04/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),6810
05/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3790
06/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3670
07/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3250
08/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3240
09/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3550
10/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),4270
11/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),5210
12/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3880
13/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3780
14/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),3800
01/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,12205
02/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,1946
03/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,20875
04/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,20138
05/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,16131
06/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,14643
07/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,25356
08/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,26047
09/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,26194
10/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,27819
11/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,25076
12/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,17807
13/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,26749
14/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,2701
01/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,7382
02/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,1137
03/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,12608
04/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,11806
05/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,911
06/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,8797
07/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,16251
08/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,16171
09/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,16158
10/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,17688
11/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,14624
12/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,1099
13/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,16097
14/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,16359
01/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,88
02/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,1277
03/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,13802
04/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,1279
05/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,10364
06/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,9583
07/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,15316
08/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,15664
09/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,15637
10/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,16799
11/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,14884
12/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,11874
13/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,15205
14/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,15679
01/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,7107
02/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,11036
03/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,12248
04/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,11242
05/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,9694
06/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,8405
07/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,14864
08/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,14847
09/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,14934
10/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,15834
11/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,13768
12/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,10382
13/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,15105
14/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,15147
01/01/2025,127,SS 9 tra Piacenza e Pontenure,8711
02/01/2025,127,SS 9 tra Piacenza e Pontenure,16944
03/01/2025,127,SS 9 tra Piacenza e Pontenure,18275
04/01/2025,127,SS 9 tra Piacenza e Pontenure,15841
05/01/2025,127,SS 9 tra Piacenza e Pontenure,1236
06/01/2025,127,SS 9 tra Piacenza e Pontenure,11321
07/01/2025,127,SS 9 tra Piacenza e Pontenure,23064
08/01/2025,127,SS 9 tra Piacenza e Pontenure,22521
09/01/2025,127,SS 9 tra Piacenza e Pontenure,23179
10/01/2025,127,SS 9 tra Piacenza e Pontenure,24492
11/01/2025,127,SS 9 tra Piacenza e Pontenure,19301
12/01/2025,127,SS 9 tra Piacenza e Pontenure,15121
13/01/2025,127,SS 9 tra Piacenza e Pontenure,23664
14/01/2025,127,SS 9 tra Piacenza e Pontenure,23992
01/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,6007
02/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,10929
03/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,12605
04/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,9635
05/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,8072
06/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,7433
07/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,15787
08/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,16344
09/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,16429
10/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,17663
11/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,12461
12/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,9184
13/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,17025
14/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,16826
01/01/2025,130,SS 62 tra Parma e Collecchio,8918
02/01/2025,130,SS 62 tra Parma e Collecchio,14031
03/01/2025,130,SS 62 tra Parma e Collecchio,16014
04/01/2025,130,SS 62 tra Parma e Collecchio,1414
05/01/2025,130,SS 62 tra Parma e Collecchio,11226
06/01/2025,130,SS 62 tra Parma e Collecchio,10503
07/01/2025,130,SS 62 tra Parma e Collecchio,17908
08/01/2025,130,SS 62 tra Parma e Collecchio,19073
09/01/2025,130,SS 62 tra Parma e Collecchio,18995
10/01/2025,130,SS 62 tra Parma e Collecchio,19921
11/01/2025,130,SS 62 tra Parma e Collecchio,16866
12/01/2025,130,SS 62 tra Parma e Collecchio,12478
13/01/2025,130,SS 62 tra Parma e Collecchio,13494
14/01/2025,130,SS 62 tra Parma e Collecchio,19119
01/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,9416
02/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,15764
03/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,17435
04/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,15774
05/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,12749
06/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,1111
07/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,20499
08/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,21085
09/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,20947
10/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,22162
11/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,17729
12/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,13741
13/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,17565
14/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,21542
01/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,7701
02/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,13186
03/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,14361
04/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,13752
05/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,12129
06/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,10776
07/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,15655
08/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,16718
09/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,16579
10/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,17741
11/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,15886
12/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,1278
13/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,1536
14/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,16997
10/01/2025,134,SS 343 tra A 1 (casello Parma) e San Polo,22285
